item_id	variable_definition
392	I know exactly what is expected of me.
393	Explanation is clear of what has to be done.
394	I have to do things that should be done differently.
395	I receive an assignment without the manpower to complete it.
396	I have to  buck  a rule or policy in order to carry out and assignment.
397	I work with two or more groups who operate quite differently.
398	I receive incompatible requests from two or more people.
399	I do things that are apt to be accepted by one person and not accepted by others.
400	I receive an assignment without adequate resources and materials to execute it.
401	I work on unnecessary things.
402	How likely is it that you will be working at the same company this time next year?
403	How likely is it that you will take steps during the next year to secure a job at a different company?
404	I will be with this company five years from now.
405	I will probably look for a job at a different company in the next year.
406	I feel emotionally drained from my work.
407	I feel used up at the end of the work day.
408	I feel fatigued when I get up in the morning and have to face another day on the job.
409	I feel burned out from my work.
410	Working all day is really a strain for me.
411	If I were to adopt Windows  it would enable me to accomplish my tasks more quickly.
412	If I were to adopt Windows  the quality of my work would improve.
413	If I were to adopt Windows  it would enhance my effectiveness on the job.
414	If I were to adopt Windows  it would make my job easier.
415	Before deciding on whether or not to adopt Windows  I would be able to use it on a trial basis.
416	Before deciding on whether or not to adopt Windows  I would be able to properly try it out.
417	I would be permitted to use Windows on a trial basis long enough to see what it can do.
418	Learning to operate Windows would be easy for me.
419	If I were to adopt Windows  it would be easy to use.
420	If I were to adopt Windows  it would be difficult to use.
421	If I were to adopt Windows  it would be compatible with most aspects of my work.
422	If I were to adopt Windows  it would fit my work style.
423	If I were to adopt Windows  it would fit me well with the way I like to work.
424	I have difficulty explaining why adopting Windows may or may not be beneficial.
425	I could communicate to others the pros and cons of adopting Windows.
426	I have no difficulty telling others about the results of adopting Windows.
427	If I were to adopt Windows  it would give me high status in the organization.
428	If I were to adopt Windows  I would have more prestige in the organization than people who have not yet adopted it.
429	Having Windows is a status symbol in my organization.
430	In my organization  one sees Windows on many computers.
431	In my organization  I have seen many people with Windows on their computers.
432	All things considered  adopting Windows in my job within the next six months would be: extremely negative - extremely positive
433	All things considered  adopting Windows in my job within the next six months would be: extremely good - extremely bad.
434	All things considered  adopting Windows in my job within the next six months would be: extremely harmful - extremely beneficial.
435	Top management thinks I should adopt Windows.
436	My close friends think I should adopt Windows.
437	My immediate supervisor thinks I should adopt Windows.
438	My peers think I should adopt Windows.
439	The (name of the MIS department) thinks I should adopt Windows.
440	Other computer technical specialists in the organization think I should adopt Windows.
441	Most people who are important to me think I should adopt Windows.
442	My boss does not require me to adopt Windows.
443	Although it might be helpful  adopting Windows is certainly not compulsory in my job.
444	I intend to adopt Windows in my job within the next six months.
445	During the next six months  I plan to experiment with or regularly use Windows in my work.
446	I could complete the job using the software if there was no one around to tell me what to do as I go.
447	I could complete the job using the software if I had never used a package like it before.
448	I could complete the job using the software if I had only the software manuals for reference.
449	I could complete the job using the software if I had seen someone else using it before trying it myself
450	I could complete the job using the software if I could call someone for help if I got stuck.
451	I could complete the job using the software if someone else had helped me get started.
452	I could complete the job using the software if I had a lot of time to complete the job for which the software was provided
453	I could complete the job using the software if I had just the built-in help facility for assistance.
454	I could complete the job using the software if someone showed me how to do it first.
455	I could complete the job using the software if I had used similar packages before this one to do the same job.
456	If I use a computer I will be better organized.
457	If I use a computer I will increase my effectiveness on the job.
458	If I use a computer I will spend less time on routine job tasks.
459	If I use a computer I will increase the quality of output of my job.
460	If I use a computer I will increase the quantity of output for the same amount of effort.
461	If I use a computer I will be less reliant on clerical support staff.
462	If I use a computer my co-workers will perceive me as competent.
463	If I use a computer I will increase my sense of accomplishment.
464	If I use a computer I will increase my chances of obtaining a promotion.
465	If I use a computer I will be seen as higher in status by my peers.
466	If I use a computer I will increase my chances of getting a raise.
467	I like working with computers.
468	I look forward to those aspects of my job that require me to use a computer.
469	Once I start working on the computer  I find it hard to so.
470	Using a computer is frustrating for me.
471	I get bored quickly when working on a computer.
472	I feel apprehensive about using computers.
473	It scares me to think that I could cause the computer to destroy a large amount of information by hitting the wrong key.
474	I hesitate to use a computer for fear of making mistakes I cannot correct.
475	Computers are somewhat intimidating to me.
501	Sharing my knowledge through EKRs makes me lose my unique value in the organization.
502	Sharing my knowledge through EKRs makes me lose my power base in the organization.
503	Sharing my knowledge through EKRs makes me lose my knowledge that makes me stand out with respect to others.
504	Sharing my knowledge through EKRs makes me lose my knowledge that no one else has.
507	I do not have the time to enter my knowledge into EKRs.
508	It is laborious to codify my knowledge into EKRs.
509	The effort is high for me to codify my knowledge into EKRs.
510	I am worried that if I share my knowledge through EKRs  I will have to spend additional time answering follow up questions.
511	I am afraid that my submission to EKRs will evoke additional clarifications or requests for assistance.
527	It is important to get a better work assignment when I share my knowledge through EKRs.
528	It is important to be promoted when I share my knowledge through EKRs.
529	It is important to get a higher salary when I share my knowledge through EKRs.
530	It is important to get a higher bonus when I share my knowledge through EKRs.
531	It is important to get more job security when I share my knowledge through EKRs.
532	Sharing my knowledge through EKRs improves my image within the organization.
533	People in the organization who share their knowledge through EKRs have more prestige than those who do not.
534	Sharing my knowledge through EKRs improves others recognition of me.
535	When I share my knowledge through EKRs  the people I work with respect me.
536	When I share my knowledge through EKRs  my superiors praise me.
537	When I share my knowledge through EKRs  I believe that I will get an answer for giving and answer.
538	When I share my knowledge through EKRs  I expect somebody to respond with I'm in need.
539	When I contribute knowledge to EKRs  I expect to get back knowledge when I need it.
540	When I share my knowledge through EKRs  I believe that my queries for knowledge will be answered in future.
541	Extent to which you and partner company make joint decisions: when planning marketing programs.
542	Extent to which you and partner company make joint decisions: by analyzing market trends.
543	Extent to which you and partner company make joint decisions: by analyzing response to marketing promotions.
544	Extent to which you and partner company make joint decisions: when planning for new market creation.
545	Extent to which you and partner company make joint decisions: when planning for demand development.
546	I have confidence in my ability to provide knowledge that others in my organization consider valuable.
547	I have the expertise needed to provide valuable knowledge for my organization.
548	It doesn't really make any difference whether I add to the knowledge others are likely to share through EKRs.
549	Most other employees can provide more valuable knowledge than I can.
550	I enjoy sharing my knowledge with others through EKRs.
551	I enjoy helping others by sharing my knowledge through EKRs.
552	It feels good to help someone else by sharing my knowledge through EKRs.
553	Sharing my knowledge with others through EKRs gives me pleasure.
554	I believe that people in my organization give credit for other's knowledge where it is due.
555	I believe that people in my organization do not use unauthorized knowledge.
556	I believe that people in my organization use other's knowledge appropriately.
557	I believe that people in my organization share the best knowledge that they have.
558	The processes conducted in conjunction with the partner company are divided into clearly understood activities to be performed by you and partner company
559	The output requirements of partner company from your company and your requirements from partner company are precisely specified and understood.
560	The activities performed by your company and partner company are performed simultaneously to a large extent.
561	There is a norm of cooperation in my organization.
562	There is a norm of collaboration in my organization.
563	There is a norm of teamwork in my organization.
564	There is a willingness to value and respond to diversity in my organization.
565	There is a norm of openness to conflicting views in my organization.
566	There is a norm of tolerance of mistakes in my organization.
567	Extent to which the business processes interfaces with partner company are similar to the process interfaces linked with other channel partners - in terms of rules and procedures.
568	Extent to which information exchanged (e.g.  sales reporting  product information  product availability  inventory information  etc.) with partner company needs to be converted or translated to be interpreted by your company
569	Extent to which content of information exchanged (e.g.  sales reporting  product information  product availability  inventory information  etc.) with partner company can be interpreted similar to information exchanged with other partners.
570	I am glad I chose to work for this organization rather than another company.
571	I talk of this organization to my friends as a great company to work for.
572	I am willing to put in a great deal of effort beyond that normally expected to help my organization to be successful.
573	I find that my values and my organization's values are very similar.
574	In general the people employed by my organization are working toward the same goal.
575	I find it easy to identify myself with my organization.
576	I feel that my organization cares about me.
577	I feel a sense of belonging towards my organization.
578	I am proud to be an employee of this organization.
582	What percentage of transactional activities that took place in your previous exchanges with partner company and other similar partners are stored using information systems.
583	What percentage of performance outcomes of previous exchanges with partner company and other similar partners are stored using information systems.
584	What is your company's level of utilization of information systems to search and retrieve a required piece of information about past experiences with partner company and other similar partners.
585	What percentage of time do you use information systems: to derive inferences from past events (e.g.  process exceptions  patterns of demand shifts  impacts of different company responses  what worked and what did not work).
586	What percentage of time do you use information systems: to combine information obtained from different channel partners to create new interpretations and uncover trends and patterns.
587	What percentage of time do you use information systems: to slice the information obtained from the channel partners into parts depending upon the requirements of different units or individuals in your company.
588	What percentage of time do you use information systems: to interpret information obtained from channel partners in multiple ways  depending upon the requirements of various units within your company.
589	What percentage of time do you use information systems: to represent the information obtained from channel partners in multiple ways  depending upon the requirements of various units within your company.
590	Extent to which you exchange details of upcoming product or service related changes with partner company.
591	Extent to which you exchange future plans such as promotion and marketing plans  long-term production plans  capital investments and capacity utilization with partner company.
592	Extent to which you exchange information related to market demand trends and forecasts with partner company.
593	Extent to which you exchange information on demand shifts and changes in customer preferences with partner company.
594	Extent to which you exchange information related to changes in supply chain structure - such as addition or dropping of partner companies  merger and alliances  with partner company.
595	Extent to which you exchange process information needed to support changes in product features or volumes with partner company.
596	How would you rate the information exchanged with partner company in terms of its: relevancy to your business needs  compared to information exchanged with other similar partners?
597	How would you rate the information exchanged with partner company in terms of its: value added to your business needs  compared to information exchanged with other similar partners?
598	How would you rate the information exchanged with partner company in terms of its: timeliness  compared to information exchanged with other similar partners?
599	How would you rate the information exchanged with partner company in terms of its: its completeness  compared to information exchanged with other similar partners?
600	In our relationship with partner company  we provide each other proprietary information if we feel it can help our business partner.
601	In our relationship with partner company  we share confidential information if we feel it can help our business partner.
602	In our relationship with partner company  we share information with each other that is not available from other sources.
603	In our relationship with partner company  the information exchange helps us provide each other a unique perspective that neither of us could have developed on our own.
604	When performing processes that are inter-linked  to what extent does your company and partner company exchange coordination information exchange to synchronize your activities?
605	When performing processes that are inter-linked  to what extent does your company and partner company exchange information to track each other's internal processes?
606	When performing processes that are inter-linked  to what extent does your company and partner company exchange operational information (such as inventory levels  product availability  production volumes  etc.).
607	How would you rate your transactions with partner company in terms of: meetings agreed upon costs per unit associated with partner company.
608	How would you rate your transactions with partner company in terms of: meeting productivity standards associated with partner company.
609	How would you rate your transactions with partner company in terms of: meeting on-time delivery requirements associated with partner company.
610	How would you rate your transactions with partner company in terms of: responding to each others requests.
611	How would you rate your transactions with partner company in terms of: ability to meet inventory requirements (finished goods) associated with partner company.
612	Working with partner company has helped you: better understand the market segments you serve.
613	Working with partner company has helped you: better understand the needs of customers.
614	Working with partner company has helped you: better understand new or emerging markets.
615	Working with partner company has helped you: better understand intentions and capabilities of your competitors.
616	Working with partner company has helped you: find better ways of distributing or selling the products.
617	Working with partner company has helped you: improve service for the end customers.
618	Working with partner company has helped you: develop strategies to compete in the market  that would not have been possible otherwise.
628	To what extent do you think this is a good way to generate ideas?
629	To what extent do you think this is a good way to generate high quality ideas?
630	To what extent do you think this is a good way to generate creative solutions.
631	To what extent do you think this would contribute to your groups' well being?
632	To what extent do you think this would contribute to your groups' cohesiveness?
633	To what extent do you think this would help your group to socilaize and develop relationships?
634	To what extent do you think this would help you to build and maintain your team as an intact and continuing social group?
635	To what extent do you think this would contribute to the individual growth and development of team members?
636	To what extent do you think this is a good way to create and maintain individual roles within the team?
637	To what extent do you think this is a good way to interact with your teammates?
638	To what extent do you think this is a good way to find out what people know and to build networks.
639	Please indicate the extent to which you are receiving the following benefits as a result of your relationship with Alpha: Learning about customers and markets for our products.
640	Please indicate the extent to which you are receiving the following benefits as a result of your relationship with Alpha: Creation of new products  product enhancements.
641	Please indicate the extent to which you are receiving the following benefits as a result of your relationship with Alpha: Development of new business opportunities.
642	Please indicate the extent to which you are receiving the following benefits as a result of your relationship with Alpha: Cost Efficiencies from higher sales volumes.
643	Please indicate the extent to which you are receiving the following benefits as a result of your relationship with Alpha: Improvements to current processes or creation of new processes.
644	Please indicate the extent to which you are receiving the following benefits as a result of your relationship with Alpha: Increased profitability.
