variable_id	variable_name
152	Image
153	Visibility
154	Attitude
155	Normative beliefs
156	Subjective norm
157	Voluntariness
158	Behavioral intention
159	Perceived usefulness
160	Perceived ease of use
161	Behavioral intention to use
162	Computer self-efficacy
169	Performance
170	Personal
171	Affect
172	Anxiety
173	Use
178	Loss of knowledge power
180	Codification effort
184	Organizational reward
185	Image
186	Reciprocity
187	Joint decision making
188	Knowledge self-efficacy
189	Enjoyment in helping others
190	Generalized trust
191	Interorganizational process modularity
192	Pro-sharing norms
193	Standard electronic business interfaces
194	Identification
195	Electronic knowledge repository usage
196	Age
197	Gender
198	Education
199	Work experience
200	Community size
201	Memory systems for interorganizational activities
202	Interpretation systems for interorganizational information
203	Breadth of information exchanged
204	Quality of information exchanged
205	Privileged information exchanged
206	Coordination information exchanged
207	Operational efficiency
208	Partner-enabled market knowledge creation
213	Perceptions of task performance
214	Perceptions of group-well being
215	Perceptions of member support
217	Strategic benefits
218	Operational benefits
219	Business-process specificity
220	Domain-knowledge specificity
221	Information technology use for exploitation
222	Information technology use for exploration
223	Product uncertainty
224	Retailer replaceability
225	Supplier size
226	Years of association
227	Product characteristics
228	Competitive performance
229	Usefulness
230	Attitude
231	Intention
232	Disconfirmation
233	Satisfaction
234	E-commerce activity
235	E-commerce strategies
236	Executive participation
237	Executive beliefs
238	Strategic investment rationale
239	Extent of coordination
240	Organizational age
241	Web experience
242	Industry type
249	Product price
250	Trust in seller
251	Price premium [study 1]
252	Risk propensity
253	Risk perception
254	Willingness to continue a project
255	Level of sunk cost
257	Anticipated extrinsic rewards
258	Anticipated reciprocal relationships
259	Sense of self-worth
260	Affiliation
261	Innovativeness
262	Fairness
263	Attitude towards knowledge sharing
264	Subjective norm
265	Intention to share knowledge
270	Perceived usefulness
271	Perceived ease of use
272	Perceived enjoyment
273	Behavioral intention to use
274	Adoption by competitors
275	Success of adoption by competitors
276	Dominance of supplier adopters
277	Conformity with parent corporation
278	Adoption by suppliers
279	Adoption by customers
280	Member of bodies promoting financial electronic data interchange
281	Perceived innovation complexity
282	Intention to adopt
283	Existence of applications
284	Organization size
285	Size of information technology department
286	Float management practice
287	Intended use
288	Perceived ease of use
289	Perceived usefulness
290	Trust
291	Calculative-based trust
292	Familiarity with the e-vendor
293	Structural assurances
294	Situational normality
302	Perceived provider performance
307	Reliability
308	Responsiveness
309	Computer self-efficacy
310	Satisfaction with application service providers
311	Computer anxiety
312	Assurance
315	Empathy
316	Interdependence
317	Personal innovativeness in information technology
318	Prior systems integration
319	Disagreement
320	Functional capability of the application service provider
321	Negative affectivity
322	Technical service guarantees
323	Prior internet usage
324	Interference
325	User satisfaction
326	Trait anxiety
327	Maturity of internal information technology
328	Negative emotion
329	Disconfirmation
330	Information system continuance intention
331	Satisfaction
332	Perceived usefulness
333	Confirmation
334	Social presence
338	Perceived organizational support
339	Distributive justice
340	Perceived equivocality
341	Alienation
342	Perceived usefulness
343	In-role behaviors
344	Group cohesion
345	Extra- Role Behaviors
346	Obedience
347	Loyalty
348	Task Participation
349	Ethical behavior intention
350	Trustworthiness
351	Moral judgment
352	Consensus
353	Performance
354	Attitude toward ethical behavior
355	Personal normative beliefs
356	Ego strength
357	Locus of control
358	Task variety
359	Organizational ethical climate
360	Task identity
361	Task significance
363	Task autonomy
364	Task feedback
365	Gender
367	Tolerance for ambiguity
368	Locus of control
371	Innovativeness
374	Perceived ease of use
376	Perceived usefulness
378	Job characteristics
383	Internal computing support
384	Internal computer training
385	Social Influences
392	Gender
395	Management support
396	Perceived environmental uncertainty
397	External computing support
398	Differentiation
400	External computer training
401	Integration
402	Flexibility
403	User involvement
404	Improvements in efficiency
405	User attitude
406	Improvements in effectiveness
407	User self-efficacy
409	Desired participation
410	Personal computing acceptance
411	Perceived ease of use
413	Self-reported email use
414	Satisfaction
415	Perceived usefulness of email
416	Social presence of email
417	Innovativeness
419	Computer graphics experience
420	Academic skill
421	Cohesiveness
423	Perceptions of process
425	Demonstrated skill
426	File
427	Satisfaction with outcome
428	More to learn
429	Problem difficulty
431	Developer Skill
434	Usefulness
435	Domain expert characteristics
436	End-user characteristics
437	Ease of Use
438	Desirable impact on end-user jobs
439	Effectiveness
440	Shell characteristics
441	Quality
442	Locatability
443	User involvement
444	Management support
446	Authorization
447	Computer self-efficacy
448	Compatibility
449	Timeliness
450	Reliability
451	Encouragement by others
452	Training and ease of use
453	Others' use
454	Support
455	Relationship
457	Tangibles
458	Affect
459	Anxiety
460	Reliability
461	Computer use
462	Nationality
465	Computer availability
467	Responsiveness
468	Age
469	Education
470	Assurance
472	Buying intention
473	Empathy
474	Purchasibility
475	Perceived need
476	Computer knowledge
478	Responsiveness to computer news
480	Satisfaction with computers
483	Reliability
484	Perceived skill development
485	Reliability
486	Powerlessness
487	Meaninglessness
488	Responsiveness
489	Self-reported learning
490	Responsiveness
491	Learning interest
492	Normlessness
493	Class evaluation
494	Social isolation
495	Group case exercise evaluation
496	Assurance
497	Self-estrangement
498	Expected grade
499	Assurance
500	Cultural estrangement
501	Empathy
502	Empathy
503	User- information system relationship
504	Boundary-spanning activities
505	Perceived usefulness
506	Actual choice
507	Responsibility
508	Role conflict
509	Role ambiguity
510	Job rewards
511	Hands-on activities
512	Job involvement
513	Perceived usefulness
514	Advancement prospects
515	Perceived ease of use
516	Developmental prospects
517	Job satisfaction
518	Importance
519	Career satisfaction
520	Personal relevance
521	Organizational commitment
522	Age
523	Organizational tenure
524	Job Tenure
525	Years in the information systems field
526	User attitude
528	Salary
529	Overall concern
530	Financial management
531	Loss of control
532	Operations management
533	Unauthorized secondary use of personal information
534	Quality
535	Overall Attitude
536	Perceived Usefulness
538	Benefits of mail shopping
539	Cope with mail
540	Accessibility
541	Opt out of mailing lists
542	Cost of computer-based information use
543	Ease of Use
544	Years of experience with computing
545	Effectiveness
547	Frequency of direct use of computing
548	Frequency of indirect use of computer-based information
549	Attitudes toward secondary use
550	Have credit card
551	Subscribe to at least one magazine
552	Usually return warranty card for products
553	Charge per month
554	Shop by mail or phone per year
555	Contributions per year
556	Total transactions per year
557	Reliance on experts
560	Decentralization of computing
561	Computer anxiety
563	Computer attitudes
564	Decision performance
565	Professionalism of organization
567	Computer efficacy beliefs
568	User satisfaction
569	Changes in expectations
572	Computer competence
576	Involvement
578	Positive mood
579	Satisfaction
582	Learning
588	Social factors influencing personal computer use
589	Affect toward personal computer use
590	Executive participation
591	Complexity of personal computer use
592	Microcomputer playfulness
593	Gender
594	Age
595	Full-time work experience
596	Frequency of microcomputer use
597	Job fit with personal computer use
598	Long-term consequences of personal computer use
599	Executive involvement
600	Facilitating conditions for personal computer use
601	Utilization of personal computers
602	Performance
603	Effort
604	Role ambiguity
605	Perceived usefulness: Organizational knowledge
606	Perceived usefulness: Organizational skills
607	Achievement needs
608	Perceived usefulness: Organizational unit
609	Locus of control
610	Perceived usefulness: General information system knowledge
611	Self esteem
612	Perceived usefulness: Technical skills
613	Perceived usefulness: Information systems product
614	Goal specificity
615	Goal difficulty
616	Intellectual ability
617	Quality of education
623	Diplomacy
624	Interviewing
625	Directing
626	Patience
627	Assertiveness
628	Leadership
629	Programming
630	Speaking
631	Writing
632	Listening
633	Empathy
634	Sales
635	Politics
636	Management
637	Training
638	Perceived usefulness [study 1]
639	Cooperation
640	Functional application knowledge
641	Organizational communications
642	Analysis and design
643	Perceived Usefulness [study 2]
644	Non-verbal communication
645	Sensitivity
646	Perceived ease of use [study 1]
648	Perceived Ease of Use [study 2]
659	Accuracy
660	Currency
661	Completeness
662	Flexibility
666	User involvement
668	System success
669	Implementation success
670	User attitudes
672	Implementation stress
674	Schedule reasonableness
675	Impact of the system on the organization
676	System complexity
678	Resource constraints
681	Managers' attitudes towards implementation
682	Managers' satisfaction with the system
684	Content
685	Accuracy
687	Format
688	Ease of use
689	Age
690	Timeliness
691	Sex
692	Education
694	Computer experience
695	Job group
696	Computer packages
697	Salary
698	Course background
700	Organization type
701	Skill variety
702	Task identity
703	Task significance
704	Autonomy
705	Feedback from the job
706	Systems analysts
710	Involvement
712	Computer literacy
713	Interface
716	Information requirements analysis
717	Duration of computer-based information system
718	Source of application
719	Degree of decentralization
722	Tutorial
723	Course/seminar
724	Computer-aided instruction (CAI)
725	Performance
726	Interactive training manual (ITM)
727	Goals
728	Resident expert
729	Urgency
731	Help component
732	Variety
733	Autonomy
734	Feedback
735	Dealing with others
736	External
737	User abilities
738	Task Identity
739	Friendship
742	Accountability
743	Cost variability
744	Involvement
745	Chargeback information use
746	Authority
747	Quality of billing information
749	Gender
750	Education
751	Marital status
752	Organizational level
753	Salary
754	Size of computer department
755	Age
756	Organizational tenure
757	Job tenure
759	Number of years in Management Information Systems field
760	Autonomy
761	Managerial competence
762	Creativity and entrepreneurship
763	Sense of service
764	Lifestyle integration
765	Security
766	Technical features
767	Pure challenge
768	Career satisfaction
769	Job satisfaction
770	Organizational commitment
771	Intention to leave
772	Prior experience
773	Perceived usefulness
774	Ease of use
775	Attitude
776	Subjective norm
777	Perceived behavioral control
778	Behavioral intention
779	Task-based rewards
780	Usage
781	Organization-based rewards
782	Boundary-spanning activities
783	Job type
786	Collection
788	Unauthorized secondary use
789	User information satisfaction
790	Improper access
791	Level of system utilization
792	Errors
793	Electronic data processing experience
794	Development
795	Operation
796	Applications
797	Interface
798	Management information systems rank
799	Region
800	Future behavioral intentions
801	Cynical distrust
804	Paranoia
805	Social criticism
806	Previous personal experiences
807	Media coverage
815	Organizational commitment
816	Intention to quit
817	Job satisfaction
818	Boundary spanning
819	Role ambiguity
820	Role conflict
821	Face-to-face
823	Telephone
824	Written and addressed documents
825	Unaddressed documents
826	Equivocality
833	Journals read
850	Cost reduction
851	Management support
852	Strategic planning
853	Competitive thrust
854	Information systems manager knowledge
856	Project management
857	Strategic Management
858	Services control
859	Services planning
860	Resource planning
861	Information systems services
862	Information systems function management
863	Development maintenance
866	Systems design
867	Hardware and software
868	Information systems management
869	Quantitative management
870	Computer processing methods
871	Data center manager
872	Systems analyst
873	Programmer
874	Professional membership
875	Organizational tenure
876	Span of control
877	Age
878	Education
879	Overall uncertainty
880	Information on hand
881	Dynamism
882	Complexity: input environment
883	Complexity: output environment
884	Economic environment
887	Method of access
890	Person-role conflict
891	Intrasender conflict
892	Intersender conflict
894	Role ambiguity
895	Support
896	Goal emphasis
897	Work facilitation
898	Support
899	Goal emphasis
900	Work facilitation
901	Interaction facilitation
902	Interaction facilitation
903	Skill variety
904	Task identity
905	Task significance
906	Autonomy
907	Feedback from job
908	General satisfaction
909	Growth satisfaction
910	Co-worker satisfaction
911	Supervisor satisfaction
912	Organizational maturity
913	People
914	Organizations
915	Society
916	Systems
917	Computers
918	Models
919	IS Manager
920	Age
921	Tenure with Company
922	Gender
923	Pay
924	College degree
925	Enriching the Job
926	Task newness
927	Attending to interpersonal relations  involving the employee  and reinforcing work behavior
928	Attending to Production and Targeting Work Behavior
929	Productivity
930	Task difficulty
931	Task variability
932	Task interdependence
933	Task standardization
935	Task authority
2263	Enjoy helping others
2266	Reciprocity
2267	Structural capital
4029	Relationship with the elecontronic data processing staff
4030	Attitudes of the electronic data processing staff
4031	Completeness of the output information
4032	Processing of requests for changes to existing systems
4033	Reliability of output information
4034	Relevancy of output information (to intended function)
4035	Accuracy of output information
4036	Precision of output information
4037	Time required for new systems development
4038	Degree of elecontronic data processing training provided to users
4039	Users’ understanding of systems
4040	Users’ feelings of participation
4042	Communication with the elecotronic data processing staff
21040	Post-adoption behavior
21041	Usefulness
21042	Ease of use
21043	Compatibility
21044	Network externality
21045	Time of adoption
21047	External influence
21049	Utilization level
21052	Discontinuer type
21063	User information satisfaction
21064	Overall user information satisfaction
21065	Satisfaction with information systems
21081	Number ideas generated
21082	Satisfaction with brainstorming
21084	Interest in the brainstorming topic
21085	Involvement with the brainstorming topic
21086	Face-to-face
21087	Electronic nominal
21088	Electronic anonymous
21089	Electronic nonanonymous
21091	Socially sensitive
21092	Seeded condition
21093	Established
21095	Team performance
21096	Stakeholder-rated team performance
21097	Production processes
21098	Guard processes
21099	Visionary processes
21100	Relationship processes
21101	Team skill
21102	Managerial involvement
21103	Experience spread
21104	Structured methods use
21105	Coordination technology usage
21106	Production technology usage
21122	Accreditation status
21123	Journal rankings
21124	Book writing importance
21125	Journal writing importance
21126	Teaching importance
21127	Service importance
21128	Research importance
21228	Comprehensiveness
21229	Formalization
21234	Focus
21244	Flow
21250	Participation
21251	Consistency
21252	Alignment
21253	Analysis
21254	Cooperation
21255	Design school
21256	Planning school
21257	Positioning school
21258	Learning school
21259	Political school
21271	Internet sessions per week
21272	Internet hours
21273	E-mail use
21274	Correspondent loyalty
21275	World Wide Web use
21276	Source loyalty
21277	Other household members' usage
21278	School days
21300	Chief Information Officer information technology knowledge
21301	Chief information officer's business knowledge
21302	Top Management Team's information technology knowledge
21303	Distance from Chief Executive Officer
21304	Chief information officer's participation
21305	Informal interactions
21306	Information technology assimilation in logistics
21307	Information technology assimilation in marketing
21308	Information technology assimilation in strategies
21309	Infrastructure maturity
21310	Sales revenue
21311	Net income
21312	Employee base
21324	Age
21326	Sex
21329	Justice
21331	Ethical index
21332	Club size
21333	Managerial support
21334	Differentiation
21335	Enhancement
21336	Current portfolio
21363	Distortion
21364	Satisfaction with communication
21373	Self-monitoring
21374	Computer-mediated communication
21375	Face-to-face communication
21376	Telephone communication
21419	Independent evaluations
21420	Elimination statements
21421	Compensatory statements
21422	Total operation statements
21613	Age
21614	Gender
21615	Internet experience
21616	Internet usage
21617	Target system experience
21618	Target system usage
21619	Perceived ease-of-use
21620	Perceived usefulness
21621	Satisfaction
21622	Personalization
21623	Learning costs
21624	Loyalty
21625	Switching costs
21626	Usage intention
21627	Word of mouth
21628	Willingness to pay
21629	Inattentiveness to alternatives
21630	Software quality
21631	Satisfaction
21634	Confidence in performance
21635	Individual
21637	Pair
21638	Programming ability
21653	Trust
21657	Likelihood of adoption
21658	Attitude
21660	Issue involvement
21661	Concern for information privacy
21662	Ability
21663	Behavioral intention
21664	Facilitating conditions
21666	Control
21667	Network density
21668	Network centrality
21669	System use
21681	Aesthetics: Visual appeal
21682	Aesthetics: Entertainment value
21683	Playfulness: Escapism
21684	Playfulness: Intrinsic enjoyment
21685	Excellence
21686	Customer return on investment: Efficiency
21687	Customer return on investment: Economic value
21688	Attitudinal loyalty
21689	Behavioral loyalty
21694	High-expected-value
21695	First mover initial concession
21696	Second mover initial concession
21697	Concession making relative to perceived expected value
21698	Agreement
21699	Image appeal
21700	Perceived social presence
21702	Time spent viewing images
21703	Fixations
21704	Culture
21705	Perceived cognitive effort
21706	Intentions to use a decision aid
21707	Perceived advice quality
21708	Perceived strategy restrictiveness
21709	Type of decision aid
21710	Perceived value
21711	User resistance
21712	Switching costs
21713	Switching benefits
21714	Self-efficacy for change
21715	Organizational support for change
21716	Colleague opinion
21750	Reporting quality
21752	Project performance
21753	Optimistic biasing
21754	Pessimistic biasing
21755	Executive's knowledge
21756	Executive’s communication
21757	Trust in executive
21758	Relative power
21759	Resource access
21760	Dyad membership
21761	Project cost overruns
21762	Client satisfaction
21763	Process versus result orientation
21764	Employee versus job orientation
21765	Parochialism versus professionalism
21766	Open versus closed system
21767	Loose versus tight control
21768	Normative versus pragmatic orientation
21769	Uncertainty avoidance
21770	Long-term orientation
21771	Power distance
21772	Individualism/collectivism
21773	Masculinity/femininity
21774	Client trust
21775	Client representative
21776	Client meetings
21777	Team meetings
21778	Project complexity
21779	Requirements uncertainty
21780	Project size
21781	Project duration
21782	Granularity of service level agreements
21783	Risk sharing
21784	Firm history
21785	Project leader experience
21787	Information system performance expectations
21788	Equitable work performance fulfillment
21789	Equitable self-development fulfillment
21790	Equitable relatedness fulfillment
21791	End user information systems satisfaction
21792	Information quality
21793	System quality
21794	System support service
21798	Stage in the purchase process
21799	Attitude
21800	Utilitarian outcomes
21802	Perceived usefulness
21804	Hedonic outcomes
21806	Social influence
21807	Perceived control
21808	Convenience
21809	Governmental influence
21810	Shopping enjoyment
21811	Trust
21812	Self-efficacy
21813	Intention to purchase
21814	Efficacy of information acquisition
21815	Intention to return
21817	Perceived ease of use
21818	Gender
21820	Task complexity
21821	Learning
21822	Use of attribute-based decision support system
21823	Informational trust
21824	Informational convenience
21825	Transaction
21826	Availability
21827	Subjective norms
21828	Perceived behavioral control
21829	Intent to find information on web
21830	Continued use intention
21831	Intent to transact
21832	Perceived ease of use
21833	Personal network exposure
21834	Household income
21835	Education level
21836	Age
21837	Gender
21838	Services provided
21840	Trust in agent
21841	Perceived web obstacles
21842	Web experience
21843	Value of the web
21844	Relative advantage
21845	Behavioral intent
21846	Attitude
21847	Subjective norm
21848	Perceived behavioral control
21849	Intention to use
21850	Technology usage
21851	Achieving consensus on development roadmap
21852	Project ownership
21853	Marketing project to increase visibility
21854	Transparency and close project monitoring
21855	Creating a sustainable ecosystem
21856	Clear and democratic authority structure and process transparency
21857	Responsible and innovative attitude
21858	Creating a sustainable ecosystem
21859	Project success
21860	Country of origin
21861	Amount of previous contracts
21862	Contract type
21863	Project duration
21864	Perceived software complexity
21865	Acceptance testing duration
21866	Internationality of vendor
21867	Price of a software development project
21868	Scope of external documentation
21869	Number of employees
21871	Pages in contract
21872	Contractual penalty
21882	Work exhaustion
21883	Job satisfaction
21884	Turnover intention
21885	Role ambiguity
21886	Perceived workload
21887	Role conflict
21888	Autonomy
21891	Fairness of rewards
21894	Negative emotional dissonance
21895	Positive emotional dissonance
21897	Negative affectivity
21910	Behavioral intention
21911	Facilitating conditions
21922	Problem solution accuracy
21923	Time taken
21924	Ease of use
21925	Ontologically clear
21926	Ontologically unclear
21942	Number of clicks
21943	Usefulness [Original Technology Acceptance Model]
21944	Usefulness [Fast Form Technology Acceptance Model]
21945	Ease of use [Original Technology Acceptance Model]
21946	Ease of use [Fast Form Technology Acceptance Model]
21947	Predicted usage
21952	Internet privacy concerns
21953	Distributive justice
21954	Procedural justice
21955	Interactional justice
21956	Societal benefits from complaining
21957	Refusal
21958	Misrepresentation
21959	Removal
21960	Negative word-of-mouth
21961	Complaining directly to online companies
21962	Complaining indirectly to third-party organizations
21963	Behavioral expectation
21964	Duration
21965	Frequency
21966	Intensity
22002	Volume
22003	Diversity
22004	Depth
22005	Top management beliefs
22006	Top management participation
22007	Mimetic pressures
22008	Coercive pressures
22009	Normative pressure
22010	Absorptive capacity
22011	Organizational compatibility
22012	Perceived work overload
22013	Job autonomy
22014	Work family conflict
22015	Fairness of rewards
22016	Work exhaustion
22017	Organizational commitment
22018	Turnover intention
22019	Group culture orientation
22020	Developmental culture orientation
22021	Hierarchical culture orientation
22022	Rational culture orientation
22023	Vertical use
22024	Horizontal use
22025	Support for organizational alignment
22026	Support for technical design
22027	Support for verification and validation
22028	Perceived systems development methodology support as control technology
22029	Support for the common conception of systems development  practice
22030	Support for the evaluation of systems development practice
22031	Perceived systems development methodology impact on the quality of the systems developed
22032	Productivity effects and morale
22033	Quality effects  goal achievement and reputation
22034	Product specialization
22035	Relationship-oriented supply chain strategy
22036	Firm size
22037	Likelihood of reverse auction use
22038	Task-based: Quality
22039	Task-based: Technological investments
22040	Task-based: Information exchanges
22041	Interaction-based: Responsiveness
22042	Interaction-based: Trust
22043	Interaction-based: Flexibility
22044	Information technology (IT) capability
22045	Differentiation competitive strategy
22046	Asset specificity
22064	Trust propensity
22065	Information misuse experience
22066	Internet shopping experience
22067	Privacy concerns
22068	Cookie setting
22073	Familiarity with privacy seals
22074	Tendency to lie
22075	Trust in information handling practice
22076	No assurance
22077	Privacy statement
22078	Privacy statement and privacy seal
22079	Monetary incentive
22081	Information requests
22507	Manufacturer price
22508	Sale price
22509	Condition
22510	Seller rating
22511	Life
22512	Competitors
22513	Sale time
22514	Trade volume
22515	Unreliability
22516	Offer position
22517	Positive ratings
22518	Negative ratings
22519	Seller service-related rating
22520	Product condition-related rating
22521	High condition
22522	Low reputation
22523	Price decline
22524	Trend
22584	Attitude
22591	Subjective Norms
22595	Facilitating conditions
22601	Intention to use
22816	Quality improvement
22817	Cost reduction
22818	Revenue growth
23439	Actual product knowledge
23440	Perceived website diagnosticity
23441	Perceived usefulness
23442	Intentions to return
23443	Static-picture format
23444	Video without narration format
23445	Video with narration format
23446	Virtual product experience
23541	Perceived novelty
23542	Conceptual knowledge
23543	Ease of learning
23544	Object- oriented experience
23572	Computer anxiety
23573	Self-efficacy
23574	Gender
23575	Agreeableness
23576	Conscientiousness
23577	Extraversion
23578	Team performance
23579	Task-oriented communication
23580	Neuroticism
23581	Openness
23582	Expertise location
23583	Task-knowledge coordination
23584	Cognition-based trust
23585	Thinking/feeling
23586	Extraversion/intraversion
23587	Sensing/intuition
23588	Judgment/perceptions
23589	Internet use
23590	Willingness to buy products online
23591	Text-based system
23592	Willingness to sell products online
23593	Appraisal score
23594	Confidence in the appraisal made
23595	Comprehensiveness of usage
23596	Satisfaction
23597	Confirmation
23598	Information systems continuance intention
23599	Frequency of prior behavior
23600	Perceived usefulness
23601	Information systems continuance usage
23602	Habit
23612	Information technology (IT) strategy making
23613	Information technology (IT) vendor management
23614	Information technology (IT) human resources (HR) management
23615	Information technology (IT) infrastructure
23622	Firm performance
23623	Information technology (IT) governance mode
23624	Industry performance
23625	Past performance of firm
23626	Firm size
23676	Information transparency
23677	Privacy policy
23678	Privacy concern
23679	Previous privacy invasion
23680	Use computer at home
23681	Use computer at work
23682	Send or receive e-mail
23683	Visit websites
23684	Gender
23685	Highest level of school
23686	Household income
23687	People in household
23688	Children in household
23689	Personalized service
23690	Personalized advertising
23718	Moral recognition
23719	Moral judgment
23720	Moral intention
23721	Using behavior
23722	Buying behavior
23723	Age
23724	Gender
23728	Experience
23729	Perceived usefulness
23730	Perceived ease of use
23731	Behavioral intention to use
23732	Computer self-efficacy
23733	Facilitating conditions
23734	Computer anxiety
23735	Computer playfulness
23736	Perceived enjoyment
23737	Objective usability
23739	Getting information
23740	Intentions to get information
23741	Attitudes toward getting information
23742	Subjective norm on getting information
23743	Perceived behavioral control over getting information
23744	Self-efficacy over getting information
23745	Controllability over getting information
23746	Trust in getting information
23747	Perceived usefulness of getting information
23748	Perceived ease of getting information
23749	Time resources
23750	Download delay
23751	Website navigability
23752	Getting information skills
23753	Getting information habit
23754	Past experience in getting information
23755	Purchasing
23756	Purchasing intentions
23757	Purchasing attitudes
23758	Purchasing subjective norm
23759	Perceived behavioral control over purchasing
23760	Purchasing self-efficacy
23761	Purchasing controllability
23762	Trust in purchasing
23763	Perceived purchasing usefulness
23764	Perceived ease of purchasing
23765	Product value
23766	Monetary resources
23767	Perceived diagnosticity
23768	Perceived information protection
23769	Purchasing skills
23770	Purchasing habit
23771	Past experience in purchasing
23772	Web vendor reputation
23773	Prior experience
23774	General computer self-efficacy
23775	Personal innovativeness
23776	Lotus 123 self-efficacy
23777	Windows 95 self-efficacy
23778	Windows 95 ease of use
23779	Lotus 123 ease of use
23780	Computer self-efficacy [Marakas]
23781	Outcome expectations
23782	Prior experience
23783	Performance
23784	Computer anxiety
23785	Decision making processes
23786	Creativity of responses
23788	Fun to use
23789	Component complexity
23790	Coordinative complexity
23791	Dynamic complexity
23792	Objective website complexity
23793	Product familiarity
23794	Website familiarity
23796	User satisfaction
23797	Initial likeability of website
23798	Product likeability
23799	Gender
23800	Age
23801	Education
23802	Internet experience
23804	Computer abuse
23805	Deterrent certainty
23806	Deterrent severity
23807	Preventives
23808	Offender system privilege
23809	Offender motivation
23810	Amount of collusion
23811	Offender employment status
23812	Duration of abuse
23813	Environmental tightness of security
23814	Environmental visibility of security
23815	Age
23816	Education
23817	Media exposure
23818	External participation
23819	Change agent contact
23820	Internal communication
23821	External communication
23822	Business-related advice
23823	Business-related advice
23824	Job level
23825	Mass media
23826	Interpersonal
23827	External
23828	Internal
23829	Year of adoption
23830	Innovativeness
23831	Adopter category
23832	Knowledge stage
23833	Persuasion stage
23834	Decisions stage
23835	Computer playfulness
23836	Personal innovativeness in the domain of information technology
23837	Perceived usefulness
23838	Perceived ease of use
23839	Attitude towards use
23840	Behavioral intention to use
23841	Actual system use
23842	Normative belief
23843	Subjective norms
23844	Perceived behavioral control
23845	Behavioral belief
23846	Outcome evaluation
23847	Motivation to comply
23848	Control belief
23849	Perceived facilitation
23850	Compatibility
23851	Complexity
23852	Trialability
23853	Observability
23854	Perceived usefulness
23855	Perceived ease of use
23856	Relative advantage
23857	Result demonstrability
23858	Image
23859	Visibility
23860	Voluntariness
23861	Benefit
23862	Measurability
23863	Tasks quantitatively measured
23864	Frequency of quantitative measures
23865	Recipient of quantitative measures
23866	Object of quantitative measures
23867	Computer accuracy
23868	Computer appropriateness
23869	Quantitative nature of work
23870	Reliance on qualitative measures
23871	Acceptance of qualitative measures
23872	Reliance on quantitative measures
23873	Acceptance of quantitative measures
23874	Perceived employer production message
23875	Perceived employer service message
23876	Personal importance of production
23877	Personal importance of service
23878	Decision quality
23879	Number of unique alternatives generated
23880	Consensus
23881	Time to decision
23882	Satisfaction with process
23883	Participation
23884	Extent of uninhibited behavior
23885	Leadership
23886	Anonymity
23887	Group decision support system (GDSS) group
23888	Manual group
23889	Role overload
23890	Work to family
23891	Family to work
23892	After-hours telecommuting
23893	Working at the office
23894	Working at home
23895	Home chores
23896	Activities with children
23897	Self-related activities
23898	Information technology investment
23899	Strategic information technology
23900	Informational information technology
23901	Transactional information technology
23902	Sales growth
23903	Return on assets
23904	Employees
23905	Labor
23907	Chief executive officer user interface system
23908	Controller user interface system
23909	Production manager user interface system
23910	Chief executive officer political turbulence
23911	Controller political turbulence
23912	Production manager political turbulence
23914	Chief executive officer top management commitment
23915	Controller top management commitment
23916	Production manager top management commitment
23917	Information technology experience
23933	Boundary spanning activities
