variable_id	variable_definition
76	When users are assigned project roles and tasks during implementation of the data warehouse.
77	The perception that users will want to perform an activity because it is perceived to be instrumental in achieving valued outcomes that are distinct from the activity itself  such as improved job performance  pay  or promotions.
78	The technical and interpersonal abilities of members of the data warehousing team.
79	How the capabilities of a system enhance an individual's job performance.
80	The quality (e.g.  standardization  readiness  disparity) of the source systems that data to the warehouse.
81	Effective hardware  software  methods  and programs to build the data warehouse.
82	The degree to which using an innovation is perceived as being better than using its precursor.
83	Implementation-level success in addressing organizational issues  such as change management  widespread support  and political resistance.
84	Implementation-level success in completing the project on time  on budget  with the proper functionality.
85	Outcome expectations relate to the consequences of the behavior.
86	Implementation-level success in overcoming technical problems.
87	The degree to which a person believes that using a system would be free of effort.
88	The accuracy  comprehensiveness   consistency  and completeness of the data  provided by the warehouse.
89	The degree to which a system is perceived as relatively difficult to understand and use.
90	The degree to which using an innovation is perceived as being difficult to use.
91	The flexibility and integration of the data warehouse.
92	The benefits of the data warehouse as perceived by a data supplier.
93	The person's perception that most people who are important to him think he should or should not perform the behavior in question.
94	The individual's internalization of the reference group's subjective culture  and specific interpersonal agreements that the individual has made with others  in specific social situations.
95	The degree to which use of an innovation is perceived to enhance one's image or status in one's social system.
96	Perceptions of internal and external  constraints on behavior and encompasses self-efficacy  resource facilitating conditions  and technology facilitating conditions.
97	Objective factors in the environment that observers agree make an act easy to do   including the provision of computer support.
98	The degree to which an innovation is perceived as being consistent with existing values  needs  and experiences of potential adopters.
99	An individual's positive or negative feelings about performing the target behavior.
100	The perception that users will want to perform an activity for no apparent reinforcement other than the process of performing the activity per se.
101	Feelings of joy  elation  or pleasure; or depression  disgust  displeasure  or hate associated by an individual with a particular act.
102	An individual's liking of the behavior.
103	The degree to which an individual believes that using the system will help him or her to attain gains in job performance.
104	The degree of ease associated with the use of the system.
105	An individual's overall affective reaction to using a system
106	The degree to which an individual perceives that important others believe he or she should use the new system.
107	The degree to which an individual believes that an organizational and technical infrastructure exists to support use of the system.
111	One's judgment of his or her ability to complete a task using computers.
112	The subjects' assessment on their satisfaction with the learning process in the course. Subjects were asked whether they felt the learning process in the course was  coordinated/uncoordinated  confusing/understandable  satisfying/dissatisfying.
113	The numbers of errors on an achievement test following instruction.
118	The extent to which a person believes that using a particular technology will enhance her/his job performance.
119	The degree to which a person believes that using the system will be free from effort.
120	The degree to which an individual believes that people who are important to him/her think she/he should perform the behavior in question.
123	Income before taxes.
124	Executive/Top Management; Middle management; supervisory; administrative/clerical; technical; other.
125	Years of experience using a computers in general
126	Frequency of use (number of user queries for information) was gathered from system logs
129	Extent to which the participant reported feeling scared  afraid  upset  distressed  jittery  nervous  ashamed  guilty  irritable  and hostile.
130	The inability to register the passage of time while engaged in interaction.
131	The experience of total engagement where other attentional demands are  in essence  ignored.
132	The pleasurable aspects of the interaction.
133	The user's perception of being in charge of the interaction.
134	The extent the experience arouses an individual's sensory and cognitive curiosity.
135	An individual's assessment that technology interaction will be relatively free of cognitive burden  i.e.  ease of use reflects the facility with which the individual is able to interact with a particular software artifact.
136	The degree to which a person believes that using a particular system would enhance his or her job performance.
137	Willingness to try out any new technology.
138	The degree of cognitive spontaneity in microcomputer interactions.
140	Confidence in one's ability to perform a particular task.
147	The degree to which adopting/using the IT innovation is perceived as being better than using the practice it supersedes.
148	The degree to which one can experiment with an innovation on a limited basis before making an adoption or rejection decision.
149	The degree to which using a particular system is free of effort.
150	The degree to which adopting the IT innovation is compatible with what people do.
151	The degree to which the results of adopting/using the IT innovation are observable and communicable to others.
152	The degree to which adoption/usage of the innovation is perceived to enhance one's image of status in one's social system.
153	The degree to which the innovation is visible in the organization.
154	Individual's salient beliefs about the consequences of adopting the information technology.
156	Normative beliefs that the person attributes to what relevant others (salient references) expect her to do with respect to adopting (or continuing to use) the information technology as well as her motivation to comply with those beliefs.
159	The extent to which a person believes that using a technology will enhance his/her productivity.
160	The extent to which a person believes that using a technology will be free of effort.
162	Beliefs about one's ability to perform a specific behavior — recognizing that our expectations of positive outcomes of a behavior will be meaningless if we doubt our capability to successfully execute the behavior in the first place.
169	Performance-related outcomes are those associated with improvements in job performance (efficiency and effectiveness) associated with using computers
170	Relate to expectations of change in image or status or to expectations of rewards  such as promotions  raises  or praise.
171	The enjoyment a person derives from using computers.
172	The feelings of apprehension or anxiety that one experiences when using computers.
173	Frequency of use at work  duration of use at work  duration of use at home on weekdays  and duration of use at home on weekends.
178	The perception of power and unique value lost due to knowledge contributed to electronic knowledge repository (EKR).
180	The time and effort required to codify and input knowledge into electronic knowledge repository (EKR).
184	The importance of economic incentives provided for knowledge contribution to electronic knowledge repository (EKR).
185	The perception of increase in reputation due to contributing knowledge to electronic knowledge repository (EKR).
186	The belief that current contribution to electronic knowledge repository (EKR) would lead to future request for knowledge being met.
187	Extent to which an enterprise and its supply chain partner make joint decisions related to their interlinked business activities.
188	The confidence in one's ability to provide knowledge that is valuable to the organization via electronic knowledge repositories (EKRs).
190	The belief in the good intent  competence and reliability of employees with respect to contributing and reusing knowledge.
191	The extent to which interlinked processes between an enterprise and its supply chain partner are structured as relatively independent subprocesses with clear interfaces.
192	The prevalence of norms that are intended to facilitate knowledge sharing in the organization.
193	The use of common specifications or formats (similar to those used with other partners) for exchange and processing of information at the interface between an enterprise and its supply chain partner.
194	The perception of similarity of values  membership and the loyalty with the organization.
195	The degree of electronic knowledge repository (EKR) usage to contribute knowledge.
201	Use of IT-based systems by an enterprise to store and retrieve information related to previous exchanges with its supply chain partners.
202	Use of IT-based systems by an enterprise to manipulate and interpret information received from its supply chain partners.
203	Exchange of information covering diverse areas related to interlinked business activities between an enterprise and its supply chain partner.
204	The timeliness  accuracy  relevance  and value of information exchanged between an enterprise and its supply chain partner.
205	Exchange of confidential and exclusive information between an enterprise and its supply chain partners that provides the enterprise a unique perspective.
206	The exchange of information between an enterprise and its supply chain partner to synchronize their interlinked processes.
207	Extent to which an enterprise responds to its supply chain partner's day-to-day needs in an efficient manner.
208	Extent to which working with a supply chain partner allows an enterprise to develop a better understanding of and response to the market and competitive environment.
213	The ideas generated are a measure of the usefulness of brainstorming to organizational groups.
217	Strategic benefits arise through firms positioning themselves to take advantage of opportunities arising in the relationship.
218	Operational benefits arise from lowered transaction and production costs through supply chain management system(SCMS)use.
219	The degree to which a supplier's key business processes such as operating processes  administrative processes  and quality-control processes are particular to the requirements of the focal firms in the relationship.
220	The degree to which a supplier's critical expertise such as competitive analysis and strategy formulation and new-product development are particular to the requirement of the focal firm in the relationship.
221	Exploitation is the extension or elaboration of old certainties. It is the class of actions whose goal is to improve operational efficiencies (e.g.  through increased standardization  tighter process controls  and reduced manual intervention).
222	The pursuit of new possibilities. It is the class of activities whose goal is to learn about the environment and discover novel ways of creating value or solving old problems.
224	The ease with which a supplier can make the transition to working with other customers for their goods in the event they are not able to sell to the focal retailer.
225	Annual sales revenue of the firm.
226	Length of association between firms.
228	Trends in purchases from SuppCo (retail and catalog) over the last 18 months and trends in SuppCo's market share in the vategory over the last 18 months.
229	Subjects' perceptions of performance  productivity  effectiveness  and overall usefulness from using the target IT.
232	The extent to which subjects' pre-usage expectation of technology usage is contravened during actual usage experience.
233	An individual's emotional state following IT usage experience  involves two dimensions: valence (positive versus negative) and intensity.
234	The relative success of a firm (relative to its rivals) in using Web technologies for different e-commerce activities.
235	The extent to which companies were using web technologies in shaping specific strategies.
236	Respondents' ratings of the extent to which senior management actively participated in the management of web initiatives.
237	Respondents' ratings of the extent to which top management believed in the potential of the Web to realize operational and strategic benefits.
238	Respondents' ratings of the importance placed on each criterion for justifying web-based projects.
239	Different types of coordination mechanisms to manage web initiatives.
240	The number of years the firm had been in business.
241	The length of time the company web site had been on the internet.
242	Manufacturing or service industry.
250	Characterized by sources of trust as well as types of trust.  Sources of trust:  Familiarity: Repeated interaction that leads to trust or mistrust.  Calculativeness: A subjective assessment (calculation) of the costs and benefits to the other party of cheating.  Values: Institutional structures that encourage confidence in trustworthy behavior and goodwill.  Types of Trust:  Benevolence: The belief that one partner is genuinely interested in the other partner's welfare and has intentions and motives beneficial to the other party even under adverse conditions for which a commitment was not made.  Credibility: The belief that the other party is honest reliable and competent.
251	The maximum bid the participant is willing to submit to win the product available from the seller.
252	The tendency of a decision maker to take risky actions.
253	The extent to which people of a culture feel threatened by unknown situations.
255	The level of sunk cost in relation to total budget provided to subjects during the experimental scenario  manipulated at 15  40  65  or 90 percent of the total budget.
257	The degree to which one believes that one will receive extrinsic incentives for one's knowledge sharing.
258	The degree to which one believes one can improve mutual relationships with others through one's knowledge sharing.
259	The degree of one's positive cognition based on one's feeling of personal contribution to the organization (through one's knowledge-sharing behavior).
260	The perception of togetherness.
261	The perception that change and creativity are encouraged  including risk-taking in new areas where one has little or no prior experience.
262	The perception that organizational practices are equitable and non-arbitrary or capricious.
263	The degree of one's positive feelings about sharing one's knowledge.
264	The degree to which one believes that people who bear pressure on one's actions expect one to perform the behavior in question multiplied by the degree of one's compliance with each one's referents.
270	The degree to which a person believes that using a particular system would enhance his or her job performance.
271	The degree to which a person believes that using a particular system would be free of effort.
272	The extent to which the activity of using the computer is perceived to be enjoyable in its own rights  apart from any performance consequences that may be anticipated.
274	The perceived extent of existing adoption by competitors in the primary industry to which an organization belongs.
275	The extent to which the respondent indicated that competitors that have adopted financial electronic data interchange (FEDI) had benefitted greatly  and had been perceived favorably by others in their industry  supplier industry  and customer industry.
276	Respondents' indications of whether their organization's well-being depended on these supplier adopters  whether they could switch to alternative suppliers  whether it was critical to maintain good relationships with these supplier adopters  and whether these supplier adopters represent the core suppliers in their industry.
277	Whether the parent corporation had adopted financial electronic data interchange (FEDI).
278	The perceived extent of existing financial electronic data interchange (FEDI) adoption by an organization's suppliers.
279	Perceived extent of existing financial electronic data interchange (FEDI) adoption by an organization's customers.
280	Participation in professional  trade  and business bodies that promote and disseminate information on financial electronic data interchange (FEDI) adoption.
281	Respondents' perceived complexity of using financial electronic data interchange (FEDI).
282	Respondents' intention to adopt financial electronic data interchange (FEDI).
283	Existence of electronic data interchange (EDI) applications; participants' indications of whether they had implemented EDI for preorder  procurement  logistics  and invoicing processes.
285	The current number of information technology (IT) professionals in the firm.
288	The cognitive effort needed to learn and to utilize the new information technology (IT).
289	The individual's subjective assessment of the utility offered by the new information technology (IT) in a specific task-related context.
293	Assessment of success due to safety nets such as legal recourse  guarantees and regulations that exist in a specific context.
294	An assessment that the transaction will be a success  based on how normal or customary the situation appears to be.
302	The perception of the user's experience with the Application Service Providers (ASP).
307	Expectations of the ability to perform the promised service dependably and accurately.
308	Expectations of the willingness to help customers and provide prompt service.
309	Individuals' judgment of their capabilities to use computers in  diverse situations.
310	A user's satisfaction and understanding of the system and success.
311	Anxiety about the implications of computer use such as the loss of  important data or fear of other possible mistakes.
312	Expectations of knowledge and courtesy.
315	Expectations of providing caring and individualized attention to customers.
316	The extent to which the project entailed joint collaboration between the information systems staff and users  as well as their dependence on each other to accomplish their work.
317	The willingness of an individual to try out any new information  technology.
318	Integration of organizational systems prior to using Application Service Providers (ASP) services.
319	The extent to which information systems staff and users disagreed about how the project was managed  the system's goals  physical design  and implementation.
320	The capability of the application service provider (ASP) in terms of functionality of the software.
321	The general experience of negative emotions such as guilt or shame regardless of the situation.
322	Services agreements that can guarantee network reliability  application reliability and scalability of the software.
323	The internet capabilities of the organization prior to implementing application service provider (ASP) services  including what percentage of revenues is generated from direct online orders; what percentage of procurement of maintenance  repair  and operations items is done online; what percentage of production goods is procured online; what percentage of service requests is resolved electronically; and what percentage of new customers were acquired online.
324	The extent to which information systems staff and users interfered with how the project was managed  the system's goals  physical design  and implementation.
326	The general tendency to experience anxiety when confronted with problems or  challenges.
328	An individual's feelings such as anger and frustration that are likely to result from disagreements with  and interference from  the other party.
329	The consumer's post-purchase response of the discrepancy between prior expectations and actual product performance.
330	Users' intention to continue using online banking division (OBD).
331	Users' affect with (feelings about) prior online banking division (OBD) use.
332	Users' perception of the expected benefits of online banking division (OBD) use.
333	Users' perception of the congruence between expectation of online banking division (OBD) use and its actual performance.
334	The degree of salience of the other person in the interaction and the consequent salience of the interpersonal relationship.
338	Degree to which workers perceive the organization as providing help. caring  and appreciating their efforts.
339	Degree to which person perceives organization as giving fair rewards.
340	Ambiguity  the existence of multiple and (potentially) conflicting interpretations about and organizational situation.
341	Degree to which person feels psychologically detached at work.
342	The degree to which people believe using a particular system would enhance their job performance.
343	Degree to which person performs expected tasks.
344	Members' attraction to the group; a psychological force that binds people together.
345	Degree to which person performs extra tasks.
346	Degree to which person complies with work rules.
347	Loyalty is allegiance to an organization and promotion of it interests. It relates to defending  promoting  and presenting a positive view of the organization.
349	An individual's intention to perform (or not to perform) a specific behavior.
350	Trust is defined as conscious reliance on another person and allowing oneself to be vulnerable to another person in a situation where the other person's behavior is not controlled.     Psychological state comprising the intention to accept vulnerability based upon positive expectations of the intentions or behavior of another.
351	The way a person reasons when faced with an ethical dilemma.
352	The changes in each participant's decision preferences after his or her group had reached a consensus.
353	Degree to which person can fulfill responsibilities and meet quality standards.
354	The degree to which a person has a favorable or unfavorable evaluation of the behavior in question.
355	The moral obligation to performing an act.
356	An individual's strength of conviction or self-regulating skills.
357	The degree to which an individual perceives that a reward follows from his/her attributes or behavior as opposed to forces outside of the individual.
358	The variety of duties  tasks  and activities for a job.
359	The ethical culture of an organization as perceived by an individual.
360	The extent to which a job allows the opportunity to complete an entire piece of work from beginning to end.
361	The extent to which the job is significant and important compared to other jobs in the organization.
363	The extent to which the job allows freedom  independence  or discretion in work scheduling  sequence  methods  procedures  quality control or other decision-making activities.
364	Task Feedback refers to the extent to which the work itself provides feedback and the effectiveness of job performance.
367	A person who is tolerant of ambiguity is able to deal with it  but does not necessarily like it. Such a person seeks it out in order to reduce it: he is tolerant of it only as long as he can do something about it  and his cognitive task is to get rid of it.
368	The degree to which people believe they are masters of their own fate.
371	Innovators are seen as undisciplined  thinking tangentially  approaching tasks from unsuspected angles; could be said to discover problems and discover avenues of solution; and query problems concomitant assumptions.
374	The degree to which computer technology is perceived as relatively easy to understand and use.
376	The prospective user's subjective probability that using a specific application system will increase his or her job performance within an organizational context.
378	The degree of convergence/divergence in the executives' tasks  including whether or not the work was routine in nature  the potential for  right answers   and the typical time frame for decision making.
383	The technical support by individuals (or groups) with computer knowledge who were internal to the small firm.
384	Amount of training provided by other computer users or computer specialists in the company.
385	Perceptions about how useful other people in the organization found the EIS and how they thought it should be used; measured through open-ended interview questions.
395	The perceived level of general support offered by top management in small firms.
396	Executives' perceptions regarding their understanding of the interrelationships among elements of the environment  their ability to predict the impact that environmental change would have on their organizations  their ability to predict the outcomes of their decisions  and the support the executive information system provided to reduce these uncertainties.
397	The technical support by individuals (or groups) with computer knowledge who were external to the small firm.
398	Breadth and depth of operating information  frequency of new and unusual information  and access to external information.
400	The amount of training provided by friends  vendors  consultants  or   educational institutions external to the company.
401	Combination of information from diverse sources.
402	Absence of a predefinition of how data are to be used and analytic and modeling capability.
403	Subjective psychological beliefs regarding the importance and personal relevance of the system to the user.
404	Improvements in efficiency at the organizational level as a result of the executive information system.
405	Affective or evaluative feelings toward the system.
406	Improvements in effectiveness at the organizational level as a result of the executive information system.
410	System usage  frequency of using a computer for job-related work  time spent per day using a computer for job-related work  using a computer to perform specific tasks  and using specific computer software.
411	Perceived ease of use of email.
413	Number of sent and received messages.
414	Satisfaction with the system and training.
416	The sense of human contact embodied in a medium.
417	Subjects' flexibility and willingness to challenge paradigms.
419	Subjects' experience with presentations.
420	Each subject's current score from exams and other course work.
421	The extent to which members are attracted to the group and to each other.
423	Group members' assessment of the interaction process  includes such aspects as trust  openness and participatory equality.
425	Mean of coders' skill ratings.
426	Whether the subject was able to create a presentation and print file.
427	User satisfaction.
428	Subject's perception of there being more to learn.
429	The degree to which an individual problem solver can follow a formal and well-defined search procedure to solve a problem  operationalized as problem size (number of variables)  complexity  variable interdependence  expertise needed  input uncertainty  instability of domain  and labor intensity needed).
431	Presence of unique skills required from expert systems developers (people  models  systems  computers  organizations  and society skills).
434	The degree to which a person believes that using a particular system would enhance his or her job performance.
435	A domain expert's quality in terms of communication skills  cooperation  availability  and computers/ artificial intelligence background.
436	User attitude  expectation  and knowledge of computers and artificial intelligence technology.
438	The desirable impact of expert systems on end-users' jobs.
440	Presence of ten features deemed applicable to a wide range of expert systems applications.
441	Currency of data quality  maintenance of the necessary fields or elements of data  and maintenance of data at the right level or levels of data.
442	Ease of determining what data is available and where and ease of determining what a data element on a report or file means  or what is excluded or included in calculating it.
443	User involvement in initiating the project  establishing project objective  determining user requirements  determining ways to meet requirements  identifying sources of data/information  outlining information flow  developing input forms/screens  developing output forms/screens  and determining system availability/access.
444	Understanding expert systems potential benefits  management encouragement to use expert systems  having necessary help/resources  and management interest in end-user satisfaction.
446	Obtaining authorization to access data necessary to do the job.
447	People's judgments of their capabilities to organize and execute courses of action required to attain designated types of performances.
448	Data from different sources can be consolidated or compared without inconsistencies.
449	Whether information systems (IS) meets pre-defined production turnaround schedules.
450	Dependability and consistency of access and uptime of systems.
451	Respondents assessments of the extent to which their use of computers was encouraged by their peers in the work organization  their peers in other organizations  their family  their friends  their manager  other management  and their subordinates.
452	Ease of using the system hardware and software for submitting  accessing  and analyzing data and whether the participant can get the kind of quality computer-related training when they need it.
453	Respondents' indications of the extent to which their peers in the work organization  their peers in other organizations  their family  their friends  their manager  other management  and their subordinates actually used computers.
454	The extent to which assistance was available in terms of equipment selection  hardware difficulties  software difficulties  and specialized instruction  as well as the extent to which their coworkers were a source of assistance in overcoming difficulties and their perception of the organization's overall support for computer users.
455	How well information systems (IS) understands the participant's unit's business mission and its relation to corporate objectives  interest and dedication to supporting customer business needs  turnaround time for a request submitted for IS service  availability and quality of technical and business planning assistance for systems  and how well IS keeps its agreements.
457	Perceptions of physical facilities  equipment  and appearance of personnel.
458	Individuals' affect (or liking) for particular behaviors can under some circumstances  exert a strong influence on their actions.
459	Feelings of anxiety surrounding computers are expected to negatively influence computer use.
460	Perceptions of ability to perform the promised service dependably and accurately.
461	Duration and frequency of use of computers at work and the duration of use of computers at home on weekdays and weekends.
462	American or Saudi.
467	Perceptions of willingness to help customers and provide prompt service.
469	Secondary school or less  university graduate  or masters or doctorate.
470	Perceptions of knowledge and courtesy of employees and their ability to inspire trust and confidence.
472	Attitudes toward purchasing behavior and assessment of the beliefs of people who are important to him or her about purchasing a computer.
473	Perceptions of caring  individualized attention the service provider gives its customers.
474	The degree of resource capability factors that may influence the purchase and the availability of computers.
475	Assessment of the need for a computer.
476	The number of programming languages (e.g. BASIC  COBOL  etc.) and software packages (spreadsheets  technical software  statistical software  desktop publishing  databases  accounting software  and word processing) the participant is familiar with.
483	The ability to perform a promised service dependably and accurately
484	Whether the participant reported increase in skill in critical thinking  increase in ability to integrate facts (synthesis)  ability to critically analyze issues  more confidence in expressing ideas  learning to value other points of view  and learning to interrelate important topics and ideas.
485	The ability to perform a promised service dependably and accurately
486	The respondents' feeling of computer dominance.
487	Lack of comprehension of computer concepts  systems  and applications.
488	The willingness to help customers and to provide prompt service
489	Whether the participant reported that they increased their understanding of basic concepts  learned factual material  and learned to identify central issues.
490	The willingness to help customers and to provide prompt service
491	Whether the participants reported that they discussed topics outside the class  did additional reading  and did some thinking for themselves.
492	High expectancies for (or commitment to) socially unapproved means vs. conventional means for the achievement of given goals.
494	The sense of exclusion or rejection versus social acceptance.
496	The knowledge and courtesy of employees and their ability to convey trust and confidence
497	The individual's motives for using computers.
499	The knowledge and courtesy of employees and their ability to convey trust and confidence
500	The individual's rejection of commonly held values in the society (or subsector) versus commitment to the going group standard.
501	The caring attitude which provides individual attention to customers
502	The caring attitude which provides individual attention to customers
503	Participation activities involving a relationship between the users and the IS staff.
504	The extent to which a job involves communication and interaction with individuals outside the person's own department in the form of oral and writting communication  formal meetings  and informal contact.
506	Each individual chose the database management system software package that he/she wanted to use to build the bibliographic database.
507	Managerial assignments or activities that are typically performed by the project leader or manager.
508	Additional work experiences that can affect the quality of work life adversely.
509	Additional work experiences that can affect the quality of work life adversely.
511	Hands-on systems development activities that users personally perform.
512	An affective reaction to the job that is related to but is both conceptually and empirically distinct from job satisfaction  as well as forms of work commitment such as career commitment and organizational commitment.
513	The degree to which a person believes that using a particular system would enhance his or her job performance.
514	Career expectations regarding the likelihood of promotability.
515	The degree to which a person believes that using a particular system would be free of effort.
516	Careers expectations regarding internal job alternatives.
517	Indicator of the quality of work life.
519	The overall affective reaction of individuals to their careers.
526	A psychological state reflecting the affective or evaluative feelings concerning a new system.
534	Whether computer-based information (CBI) provides precise information  new information  and up-to-date information.
535	Whether participants  overall  viewed the receipt of catalogs and mail offers at home as  primarily as useful    rarely use but no problem    more as a nuisance   or  more as a privacy invasion.
538	Perceptions about the benefits of direct mail compared with shopping for the same items in a store.
539	Whether the individual perceives that he or she is able to cope with the receipt of unwanted mail.
540	Whether computing saves the manager time in looking for information.
541	The ability of individuals to  opt out - to have their names removed from mailing lists.
542	If time and money must be expended in reorganizing  extracting  aggregating  or otherwise formatting the data for managerial use.
547	Frequency of using a microcomputer  using a microcomputer as a terminal to a larger computer  using a microcomputer on a local area network  and using a computer terminal in doing their job.
548	In doing their job  how often the participant requests others (by phone or in person) to get information from a computerized file and how often their receive reports which contain data from computer files.
560	Location of  mainframe  computing for the specific respondent- computing services solely or primarily from a central installation or computer services solely/primarily from installation located in manager's department.
561	The tendency of individuals to be uneasy  apprehensive  or fearful about current or future use of computers.
563	Perceptions of the competence and productivity of computer.
567	One's beliefs in one's ability to perform a specific task.
568	The users' perceptions of the effectiveness of an information system.
572	Self-rated computer skills  computer experiences  typing skills  and computer usage.
579	Satisfaction with trainer.
582	Objective measures of actual learning. Multiple-choice quizzes about spreadsheet and word processor knowledge.
588	Norms for PC use at the peer  superior  and organizational level.
589	The feelings of joy  elation  or pleasure  or depression  disgust  displeasure  or hate associated by an individual with a particular act.
590	The chief executive officer's participation in information technology (IT) management as reported by the IT manager.
591	The degree to which an innovation is perceived as relatively difficult to understand and use.
592	An individual's tendency to interact spontaneously  inventively  and imaginatively with microcomputers.
597	The extent to which an individual believes that using a PC can enhance the performance of his or her job.
599	The chief executive officer's involvement in information technology (IT) management as reported by the IT manager.
600	Objective factors  'out there' in the environment  that several judges or observers can agree make an act easy to do.
601	Intensity of job-related personal computer use (minutes per day at work)  frequency of PC use  and diversity of software packages used for work (number of packages.
602	Subject's comparison of his or her overall job performance with others in the firm at the same level in the same specialty area.
604	The degree to which the individual has knowledge about what behavior is expected and whether there guidelines concerning appropriate behavior.
605	Perceived usefulness of organizational goals and objectives  primary organizational functions  critical success factors  and environmental constraints.
606	Perceived usefulness of interpersonal communication  interpersonal behavior  group dynamics and project management.
607	The extent to which the person values success.
608	Perceived usefulness of work unit objectives  work unit problems  and links with other work units.
609	The degree to which individuals feel they can control their own destiny.
610	Perceived usefulness of information system policies and plans  fit between information systems and organization  existing information systems applications  information systems/information technology potential  information systems/information technology for competitive advantage  and privacy issues.
